Date,Rainfall,TempMax,TempMin
16/06/21,15.4,15,9.0
17/06/21,12.9,13,6.9
18/06/21,13.9,14,4.4
19/06/21,15.1,15,7.6
20/06/21,15.0,15,2.6
21/06/21,15.5,,2.8
22/06/21,16.3,,1.5
23/06/21,15.3,,4.9
24/06/21,16.9,,9.7
25/06/21,13.2,,10.2
26/06/21,12.7,,9.4
27/06/21,14.9,,9.7
28/06/21,15.3,,3.1
29/06/21,16.4,,1.5
30/06/21,17.5,,2.7
01/07/21,17.7,,7.6
02/07/21,15.6,,8.6
03/07/21,10.6,,6.4
04/07/21,12.5,,6.4
05/07/21,12.7,,5.4
06/07/21,13.0,,6.5
07/07/21,12.8,,5.5
08/07/21,12.8,,1.7
09/07/21,11.4,,0.6
10/07/21,13.5,,2.2
11/07/21,16.7,,4.5
12/07/21,17.6,,6.4
13/07/21,15.1,,8.9
14/07/21,14.2,,9.6
15/07/21,17.0,,10.0
16/07/21,14.0,,10.7
17/07/21,13.5,,7.6
18/07/21,13.5,,8.0
19/07/21,12.8,,8.7
20/07/21,11.2,,9.7
21/07/21,12.8,,6.7
,,,4.4
